serial_order,validation_stage,run_id,instance_id,completion_valid,completion_reason,completion_marker_path,completion_marker_bytes,completion_marker_sha256,artifact_manifest_path,artifact_manifest_bytes,artifact_manifest_sha256,artifact_count,result_sha256,strict_certificate,emergency_timeout,algorithmic_solve_state_resumed,anchor_safety_valid,arm_contract_matches,root_coverage_valid,parent_child_coverage_valid
11,qualification_1800,r36c_11_moderate_seed5301__bw_p__1800s,moderate_seed5301,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_11_moderate_seed5301__bw_p__1800s/completion_marker.json,7848,259cea8be1595a9c0955c68860145130dc3c62de172f14eb9603cab19848190b,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_11_moderate_seed5301__bw_p__1800s/artifact_manifest.csv,3704,1399a4f9c09f8c70b8a97d5762961ab941dd201f5cdeb61cfb275a8871652dae,36,e023529b511fd6f025392d4d0490f543a6a14a6e0808dde566163230263277d9,False,False,False,True,True,True,True
12,qualification_1800,r36c_12_moderate_seed5302__bw_p__1800s,moderate_seed5302,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_12_moderate_seed5302__bw_p__1800s/completion_marker.json,7845,fd4ac265f86719cdc6656860d2b3df86b3d0adc4314645f0c1e9077f359c4c29,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_12_moderate_seed5302__bw_p__1800s/artifact_manifest.csv,2829,b4ba0df3f8f2d8854ba51acb4506fd1b2343cf2b3da74b51ca3035bf4547066d,28,e17158c2c6de5cdb1a7cd9cde7e4d241e64db07dbf97f8e1368b06b03fa5c104,False,False,False,True,True,True,True
13,qualification_1800,r36c_13_tight_T_seed5102__bw_p__1800s,tight_T_seed5102,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_13_tight_T_seed5102__bw_p__1800s/completion_marker.json,7831,1aaa13f9b538daba603803b7025189adf833d915ab36e13b532d5aacdffc477f,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_13_tight_T_seed5102__bw_p__1800s/artifact_manifest.csv,3719,c1dbea40227d956e6c62bdf6a97179e6181306994f878d1493a9e6ecabfe26df,36,720778933de1b99c98471856912162fa368d4f767870c7269db98f18deb67e8b,False,False,False,True,True,True,True
14,qualification_1800,r36c_14_tight_T_seed5103__bw_p__1800s,tight_T_seed5103,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_14_tight_T_seed5103__bw_p__1800s/completion_marker.json,7808,aa55c3180fb7bcd17a9500f3541e0548b34a60767e03a49aef389ccbd5e60890,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_14_tight_T_seed5103__bw_p__1800s/artifact_manifest.csv,3717,c7e274ab7bf62b08d4601a759f3ef391b1fb59dab7773c40fee8f596fba7ca02,36,7e4e164f86bc2c4d67563fd631cb485b09a5da18d4b3870aec04c3cfe319ad6d,True,False,False,True,True,True,True
15,qualification_1800,r36c_15_high_imbalance_seed6202__bw_p__1800s,high_imbalance_seed6202,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_15_high_imbalance_seed6202__bw_p__1800s/completion_marker.json,7918,faf71637ab8fd5df876f7c5303f89a2547cd598e2aa1882e89a9e91ab7110058,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_15_high_imbalance_seed6202__bw_p__1800s/artifact_manifest.csv,3377,7b02c19e1a84f02433224abf0cffee97915f8b0ee2c5eb08b79cd2826644a913,33,147de53030d0641704854b563f823c8e88e7343c8b38fd773da5d75964e05aa0,False,False,False,True,True,True,True
16,qualification_1800,r36c_16_moderate_seed6301__bw_p__1800s,moderate_seed6301,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_16_moderate_seed6301__bw_p__1800s/completion_marker.json,7847,b5e9e0f4ca297b17fe917f9a7b49d3636c40edd96dfcda2a2d22a58994113376,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_16_moderate_seed6301__bw_p__1800s/artifact_manifest.csv,4866,9d27ab4bbb85e8a2ca035e7749845faf70e2ee88656e4879acabfe450052bc40,46,900f3ab9efde0c97d71c216b7b0647fecee344a830bb1551e03c970aeba02c73,False,False,False,True,True,True,True
17,qualification_1800,r36c_17_tight_T_seed6102__bw_p__1800s,tight_T_seed6102,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_17_tight_T_seed6102__bw_p__1800s/completion_marker.json,7832,6de5ccfc792bc3e46f65ad38178522c631e895f11ff3fb1c91efe9d6c76b95ae,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_17_tight_T_seed6102__bw_p__1800s/artifact_manifest.csv,2499,6f73e9631a30361769d3a20ec7079cf0eb5db2a9b73b345bdc9d1f70ea35d69c,25,b496b105371678fba2ea7ee3f2cc727c09e8191b0f7198f2196ae215d8e818be,False,False,False,True,True,True,True
18,qualification_1800,r36c_18_round31_sealed_high_imbalance_V20_seed1968399862__bw_p__1800s,round31_sealed_high_imbalance_V20_seed1968399862,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_18_round31_sealed_high_imbalance_V20_seed1968399862__bw_p__1800s/completion_marker.json,8200,4b03f9c6868f9318575afda84c31e8aef3aab1d5a11202205e5b5295a03135a4,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_18_round31_sealed_high_imbalance_V20_seed1968399862__bw_p__1800s/artifact_manifest.csv,3246,842342098fdb63f924e3732508486dccd3501bff1be47450dcca91b04551d713,32,fa153d3abecb78a5e6efbc9a5e83017fab7b6227c30a9494db0628815e14b3b0,True,False,False,True,True,True,True
19,qualification_1800,r36c_19_round31_sealed_high_imbalance_V50_seed802548647__bw_p__1800s,round31_sealed_high_imbalance_V50_seed802548647,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_19_round31_sealed_high_imbalance_V50_seed802548647__bw_p__1800s/completion_marker.json,8166,a939b7350534d18ab4dbaf2188ef2f110b583dce5dce00b338e727a3693be2a5,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_19_round31_sealed_high_imbalance_V50_seed802548647__bw_p__1800s/artifact_manifest.csv,3919,8175b9bae0d1672907500fd0706ea271a2c6fe3298e7a763204238cf94f1bc4d,38,65ca5066323c2a17bc3f3f2c653b7e4380705a0c3b4329c78fe062a36b507f6e,True,False,False,True,True,True,True
20,qualification_1800,r36c_20_round31_sealed_moderate_V20_seed311185674__bw_p__1800s,round31_sealed_moderate_V20_seed311185674,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_20_round31_sealed_moderate_V20_seed311185674__bw_p__1800s/completion_marker.json,8136,1adfee39d55c70460654ef6acb93bbbe475176be2c396b29b7d7e723fca1f91c,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_20_round31_sealed_moderate_V20_seed311185674__bw_p__1800s/artifact_manifest.csv,3514,52aa99a0e60f13256740eeb1f4573d6f2662f682cee27201012f71eedb86d0b1,34,482f9861eaea368156ce5a12e28b60c3584216d74c828f83a54fb4634d7338eb,False,False,False,True,True,True,True
21,qualification_1800,r36c_21_round31_sealed_moderate_V50_seed1112848618__bw_p__1800s,round31_sealed_moderate_V50_seed1112848618,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_21_round31_sealed_moderate_V50_seed1112848618__bw_p__1800s/completion_marker.json,8146,a957f302afc68fbe9675f70b18ea534546d86747882a2ad207f15626c19e59ed,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_21_round31_sealed_moderate_V50_seed1112848618__bw_p__1800s/artifact_manifest.csv,3726,8765a082932e14afa3dc52275ab5e6a89aecb3dce7b1facd904320109f15b098,36,04afdb6608523ac7d0118d138be5cf3ce67b9eb14e05f010cfde3b9fa152abed,False,False,False,True,True,True,True
22,qualification_1800,r36c_22_round31_sealed_tight_T_V20_seed2113109204__bw_p__1800s,round31_sealed_tight_T_V20_seed2113109204,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_22_round31_sealed_tight_T_V20_seed2113109204__bw_p__1800s/completion_marker.json,8134,79e814fac4db1d5d6f018011b4c734b5b2abddc85c78b24f1b088bef79b07a7f,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_22_round31_sealed_tight_T_V20_seed2113109204__bw_p__1800s/artifact_manifest.csv,4341,5271eece1709a4738b76bc14818156278656756ab95aeffbb81604c54a9833af,42,f9dbbef3708b542d87e87e7ebb82c474216fedd3a452dfee8674bba5a0503d32,False,False,False,True,True,True,True
23,qualification_1800,r36c_23_round31_sealed_tight_T_V50_seed1973327304__bw_p__1800s,round31_sealed_tight_T_V50_seed1973327304,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_23_round31_sealed_tight_T_V50_seed1973327304__bw_p__1800s/completion_marker.json,8132,0c36520998a782eb0017ff72dd4809b0e3d20c77b1fb7a52a20aa927b1554878,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_23_round31_sealed_tight_T_V50_seed1973327304__bw_p__1800s/artifact_manifest.csv,4291,ed0fd6de18f7bff293565a76a5ffe9abc81a8ae402ce15d585428be054a9b9bc,41,87daad170a9268d57b881ad25b34cf70433c5a0d1092b23a06858c6d4dd76a17,False,False,False,True,True,True,True
24,qualification_1800,r36c_24_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_p__1800s,round32_multi_m_high_imbalance_V20_M2_seed1052706459,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_24_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_p__1800s/completion_marker.json,8234,cc9994d2bb4b42648a11ac576f394bafe97806aafc7f947ffd77c17ccd3e89e8,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_24_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_p__1800s/artifact_manifest.csv,4780,a6bbcd414e386343c89b4dc52a8423de4edfdeef2297a03a1ba6028d55444b5b,46,5dd01f355e5c824fcfeeb7ffe1802ac87d77cac9cff5cb4d97315f79204f5b47,True,False,False,True,True,True,True
25,qualification_1800,r36c_25_round32_multi_m_high_imbalance_V20_M4_seed2081968251__bw_p__1800s,round32_multi_m_high_imbalance_V20_M4_seed2081968251,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_25_round32_multi_m_high_imbalance_V20_M4_seed2081968251__bw_p__1800s/completion_marker.json,8281,45833ac2a88d2ca27ac79590c0ea1d22176e46ea4764c7e4633410c506170f72,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_25_round32_multi_m_high_imbalance_V20_M4_seed2081968251__bw_p__1800s/artifact_manifest.csv,3927,5acfa3f8b0f04e5ba19605d0f3bcba4aea4e0249d55e6870e79629c49bbdf917,38,edd8bcf63fcc116b10c39449faba54e7edc154ba02d2a8b7b204db358bdf70ed,False,False,False,True,True,True,True
26,qualification_1800,r36c_26_round32_multi_m_moderate_V20_M2_seed479269984__bw_p__1800s,round32_multi_m_moderate_V20_M2_seed479269984,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_26_round32_multi_m_moderate_V20_M2_seed479269984__bw_p__1800s/completion_marker.json,8166,119001f6fc5a2f4a5479502ddfec984cce7261b548bb86b9800cdba8bbc95abe,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_26_round32_multi_m_moderate_V20_M2_seed479269984__bw_p__1800s/artifact_manifest.csv,4606,637f62962ae3464d62fdc9a612269ac39961074b7df7d2bd7c745fc95323b399,44,b2dd391a7fc0a27233214b5869a5a843f480c403beb68e285fc86b732fc1bf8a,True,False,False,True,True,True,True
27,qualification_1800,r36c_27_round32_multi_m_moderate_V20_M4_seed822125155__bw_p__1800s,round32_multi_m_moderate_V20_M4_seed822125155,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_27_round32_multi_m_moderate_V20_M4_seed822125155__bw_p__1800s/completion_marker.json,8195,88a48fde08c15f4065650c66343d446902eed6614bb84ae3e0fdbd1e0b7d085f,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_27_round32_multi_m_moderate_V20_M4_seed822125155__bw_p__1800s/artifact_manifest.csv,2085,b7eae958795af5029763b3c7e547df60908cefcdada342f34fa090b6ef3e18c6,21,36a90eead99c8ed78a8ccaf6b3e38f2d51c29d1deb582400b7ba551e9144a38d,False,False,False,True,True,True,True
28,qualification_1800,r36c_28_round32_multi_m_tight_T_V20_M2_seed89001413__bw_p__1800s,round32_multi_m_tight_T_V20_M2_seed89001413,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_28_round32_multi_m_tight_T_V20_M2_seed89001413__bw_p__1800s/completion_marker.json,8137,3d67200eb285c5fbfdbd46114c4241aa5a6936997c31a29ca150d21465fd2ac9,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_28_round32_multi_m_tight_T_V20_M2_seed89001413__bw_p__1800s/artifact_manifest.csv,3910,6c4beca6b736180fc8b5a2b3c7ea7edb87caf2233ca6082b9d82ef4fc697298b,38,62b2533898445b25c28490d27189b9e31491c7e5bc862f9f7f912d3d5b7622b0,True,False,False,True,True,True,True
29,qualification_1800,r36c_29_round32_multi_m_tight_T_V20_M4_seed2095231402__bw_p__1800s,round32_multi_m_tight_T_V20_M4_seed2095231402,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_29_round32_multi_m_tight_T_V20_M4_seed2095231402__bw_p__1800s/completion_marker.json,8193,aa0b7eda94c657a7e9009aed03558df9e27100d5f12233762a4d043be12ab4dc,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_29_round32_multi_m_tight_T_V20_M4_seed2095231402__bw_p__1800s/artifact_manifest.csv,3107,d5c883e85a8a30bfdcefad3eaec93113b0b043218d3d8a94d9d2937e1f61d712,31,8910a7ae3e31a143b28b383234d6075449f027e05dcfe868796288dead1c1c20,False,False,False,True,True,True,True
30,qualification_1800,r36c_30_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__1800s,round32_multi_m_high_imbalance_V50_M2_seed910922492,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_30_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__1800s/completion_marker.json,8239,2e00ea596e70fea40282cf11f20ebabbbf60574b4cf532d41b54e5bcf5f43a6d,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_30_round32_multi_m_high_imbalance_V50_M2_seed910922492__bw_p__1800s/artifact_manifest.csv,3918,f974efb3a9195f8b913ef5a52601639a2e385fc468e36e7ed0c336c096ce31c0,38,32e4a528e1ee2ccc0199aef4f70a36b2b85a98ffad24cdad17378b80ec3b5eeb,True,False,False,True,True,True,True
31,qualification_1800,r36c_31_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__1800s,round32_multi_m_high_imbalance_V50_M4_seed163456187,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_31_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__1800s/completion_marker.json,8267,14556b3521a4e53b4be8e55215e32cc97bd5bf3a151f708a9ab2a627f6e53da9,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_31_round32_multi_m_high_imbalance_V50_M4_seed163456187__bw_p__1800s/artifact_manifest.csv,3377,94cc2d9ad2c394bacc10f4d51c700b34475ae1cfb9fda9c04b385763d2cdece2,33,c7a183aa1ac81a75283834e6ae12e16f629cf074d3f9ca15ac27692592bb072b,False,False,False,True,True,True,True
32,qualification_1800,r36c_32_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__1800s,round32_multi_m_moderate_V50_M2_seed254020866,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_32_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__1800s/completion_marker.json,8192,e4e32bcae87018fba4fd9d2b427b4719094b619bf68695dcdc923d7d9b4788cd,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_32_round32_multi_m_moderate_V50_M2_seed254020866__bw_p__1800s/artifact_manifest.csv,3933,dac5f4f9ec88dd00b9a56c3820b3ed8c0236af4165ca71d142ab0a0adb9785a4,38,abfe59d83f74cbc5d2ab235b99e1d220ba9514eac10528b3ea89e762d2c52117,False,False,False,True,True,True,True
33,qualification_1800,r36c_33_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__1800s,round32_multi_m_moderate_V50_M4_seed721910669,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_33_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__1800s/completion_marker.json,8194,ad63e7c6d3aa19dd92a301257fd04f710e7d00f74aa28a189c568e774665355a,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_33_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__1800s/artifact_manifest.csv,3725,864e7de7505ce2a5ba17b6c694dbba39acf2b76fc259ad3cb9b1ac53eda4f6fa,36,3b3ee5230538866bbef4951bfb6499e11e3f81fbea97ab21dbc40c40612402ac,False,False,False,True,True,True,True
34,qualification_1800,r36c_34_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__1800s,round32_multi_m_tight_T_V50_M2_seed104207248,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_34_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__1800s/completion_marker.json,8150,345f4c5367d404667ff133a22199fe433b5a9db888ff6953975ca9c5be2141b7,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_34_round32_multi_m_tight_T_V50_M2_seed104207248__bw_p__1800s/artifact_manifest.csv,3917,328137ea0641f0bd9126b8b49149020b09f7e4360d380f586e4e2966dc9d6ab8,38,6b11c49a9ef9f3c5d618bf13ff2f57999ed83edb7a39a647a4e786976672ad9a,True,False,False,True,True,True,True
35,qualification_1800,r36c_35_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__1800s,round32_multi_m_tight_T_V50_M4_seed1562257203,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_35_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__1800s/completion_marker.json,8190,c0dcbb5c4ae35be3909205521add2942229ba7b6e1c754e5435ddb8a7d4defb5,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_35_round32_multi_m_tight_T_V50_M4_seed1562257203__bw_p__1800s/artifact_manifest.csv,2705,ad2007a19a412f16db31fd952d96785853a01ad3bbc85c117d66a0fdebe78d7f,27,6155668d37f2e313ce8927c4f12a94aeba0af18add27e06d1e749c1872012556,False,False,False,True,True,True,True
36,independent_v50_3600,r36c_36_high_imbalance_seed6202__bw_p__3600s,high_imbalance_seed6202,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_36_high_imbalance_seed6202__bw_p__3600s/completion_marker.json,7921,f1cd946ffdd1881cd69dda98263c58bf449d78c8c39e5eef3534e69ae031e8a7,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_36_high_imbalance_seed6202__bw_p__3600s/artifact_manifest.csv,3378,40032ceed28d13af70c0055b90df52932a3db05bf47507b62428c088f67d4e4b,33,a31caa8b4bb50e5d175c21c082f9ac00edd2db541101dcb7561483f8b91547b2,False,False,False,True,True,True,True
37,independent_v50_3600,r36c_37_moderate_seed6301__bw_p__3600s,moderate_seed6301,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_37_moderate_seed6301__bw_p__3600s/completion_marker.json,7849,4d515ce13f480c9b6cc6ce96ab6dffcbf806ab4bbad3fae80bcf22d98bd48c51,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_37_moderate_seed6301__bw_p__3600s/artifact_manifest.csv,4866,07b503c875541f19d86315f912d0db5246b10311ec12b6a8efa48ced61f3b34a,46,eeb35fe9dd4debf32862e52ee5ca1a792e6f49c0075fc01224372d18415fc65e,False,False,False,True,True,True,True
