study,run_id,instance_id,arm,strict_certificate,expected_unresolved,original_problem_verifier_passed,parameter_roundtrip_valid,gurobi_presolve_effective,accepted_outcome
part1_k1,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__p_grb,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_hga_full_k4,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_single,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__p_grb,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_hga_full_k4,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_single,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_adaptive,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__p_grb,round39_small_medium_V10_M2_Q20_slot05_seed968549317,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_hga_full_k4,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_single,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_adaptive,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__p_grb,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_hga_full_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_single,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_adaptive,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__p_grb,round39_small_hard_V10_M1_Q20_slot01_seed561355351,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_hga_full_k4,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_single,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_adaptive,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__p_grb,round39_small_hard_V12_M3_Q20_slot07_seed621538683,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_full_k4,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-HGA-FULL-K4,False,True,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_single,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-K1-SINGLE,False,True,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_adaptive,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-K1-ADAPTIVE,False,True,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__p_grb,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_hga_full_k4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_single,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__p_grb,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_hga_full_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_single,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_adaptive,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_adaptive_decisive,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_adaptive_decisive,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive_decisive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_adaptive_decisive,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_adaptive_decisive,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_adaptive_decisive,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_adaptive_decisive,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_adaptive_decisive,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-K1-ADAPTIVE-DECISIVE,False,True,True,True,-1,True
part1_k1,k1_iterative__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive_decisive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part1_k1,k1_iterative__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_adaptive_decisive,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-K1-ADAPTIVE-DECISIVE,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_hga_full_k4,round39_small_easy_V8_M1_Q30_slot01_seed432322553,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V8_M1_Q30_slot01_seed432322553__c6_nested_dyadic_k4,round39_small_easy_V8_M1_Q30_slot01_seed432322553,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_hga_full_k4,round39_small_easy_V8_M2_Q20_slot02_seed944712007,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V8_M2_Q20_slot02_seed944712007__c6_nested_dyadic_k4,round39_small_easy_V8_M2_Q20_slot02_seed944712007,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_hga_full_k4,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__c6_nested_dyadic_k4,round39_small_easy_V8_M2_Q30_slot03_seed1019524729,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_hga_full_k4,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_nested_dyadic_k4,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V10_M2_Q30_slot05_seed332426708__c6_hga_full_k4,round39_small_easy_V10_M2_Q30_slot05_seed332426708,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V10_M2_Q30_slot05_seed332426708__c6_nested_dyadic_k4,round39_small_easy_V10_M2_Q30_slot05_seed332426708,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__c6_hga_full_k4,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__c6_nested_dyadic_k4,round39_small_easy_V10_M3_Q20_slot06_seed1178207568,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__c6_hga_full_k4,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__c6_nested_dyadic_k4,round39_small_easy_V12_M2_Q30_slot07_seed1210444511,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_hga_full_k4,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_nested_dyadic_k4,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V8_M1_Q20_slot01_seed244478273__c6_hga_full_k4,round39_small_medium_V8_M1_Q20_slot01_seed244478273,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V8_M1_Q20_slot01_seed244478273__c6_nested_dyadic_k4,round39_small_medium_V8_M1_Q20_slot01_seed244478273,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V8_M2_Q20_slot02_seed890603285__c6_hga_full_k4,round39_small_medium_V8_M2_Q20_slot02_seed890603285,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V8_M2_Q20_slot02_seed890603285__c6_nested_dyadic_k4,round39_small_medium_V8_M2_Q20_slot02_seed890603285,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_hga_full_k4,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_nested_dyadic_k4,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V10_M1_Q20_slot04_seed1035775879__c6_hga_full_k4,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V10_M1_Q20_slot04_seed1035775879__c6_nested_dyadic_k4,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_hga_full_k4,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_nested_dyadic_k4,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__c6_hga_full_k4,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__c6_nested_dyadic_k4,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V12_M1_Q30_slot07_seed907224013__c6_hga_full_k4,round39_small_medium_V12_M1_Q30_slot07_seed907224013,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V12_M1_Q30_slot07_seed907224013__c6_nested_dyadic_k4,round39_small_medium_V12_M1_Q30_slot07_seed907224013,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_hga_full_k4,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_nested_dyadic_k4,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_hga_full_k4,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_nested_dyadic_k4,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_hga_full_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_nested_dyadic_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M2_Q20_slot03_seed490008310__c6_hga_full_k4,round39_small_hard_V10_M2_Q20_slot03_seed490008310,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M2_Q20_slot03_seed490008310__c6_nested_dyadic_k4,round39_small_hard_V10_M2_Q20_slot03_seed490008310,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_hga_full_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_nested_dyadic_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M1_Q20_slot05_seed180890838__c6_hga_full_k4,round39_small_hard_V12_M1_Q20_slot05_seed180890838,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M1_Q20_slot05_seed180890838__c6_nested_dyadic_k4,round39_small_hard_V12_M1_Q20_slot05_seed180890838,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M2_Q20_slot06_seed258908503__c6_hga_full_k4,round39_small_hard_V12_M2_Q20_slot06_seed258908503,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M2_Q20_slot06_seed258908503__c6_nested_dyadic_k4,round39_small_hard_V12_M2_Q20_slot06_seed258908503,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_full_k4,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-HGA-FULL-K4,False,True,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_nested_dyadic_k4,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_hga_full_k4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-HGA-FULL-K4,True,False,True,True,-1,True
part2_ub_geometry,ub_geometry__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_nested_dyadic_k4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-NESTED-DYADIC-K4,True,False,True,True,-1,True
default_equivalence,default_equivalence__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__implicit,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-IMPLICIT-DEFAULT,True,False,True,True,-1,True
default_equivalence,default_equivalence__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__explicit_off,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-EXPLICIT-OFF,True,False,True,True,-1,True
default_equivalence,default_equivalence__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__implicit,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-IMPLICIT-DEFAULT,True,False,True,True,-1,True
default_equivalence,default_equivalence__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__explicit_off,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-EXPLICIT-OFF,True,False,True,True,-1,True
default_equivalence,default_equivalence__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__implicit,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-IMPLICIT-DEFAULT,True,False,True,True,-1,True
default_equivalence,default_equivalence__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__explicit_off,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-EXPLICIT-OFF,True,False,True,True,-1,True
